"Year Month","State","Countym","Industry","Suspicious Activity","Product","Instrument","Count"
"2016 January","California","Fresno County, CA","Money Services Business (MSB)","[Total]","Credit Card","U.S. Currency","1"
"2016 January","California","Fresno County, CA","[Total]","[Total]","Credit Card","U.S. Currency","10"
"2016 January","California","Imperial County, CA","Depository Institution","Suspicion Concerning the Source of Funds","Credit Card","U.S. Currency","1"
"2016 January","California","Imperial County, CA","Depository Institution","Transaction with No Apparent Economic, Business, or Lawful Purpose","Credit Card","U.S. Currency","1"
"2016 January","California","Imperial County, CA","Depository Institution","[Total]","Credit Card","U.S. Currency","2"
"2016 January","California","Imperial County, CA","[Total]","[Total]","Credit Card","U.S. Currency","2"
"2016 January","California","Kern County, CA","Depository Institution","Check","Credit Card","U.S. Currency","1"
"2016 January","California","Kern County, CA","Depository Institution","Counterfeit Instrument","Credit Card","U.S. Currency","1"
"2016 January","California","Kern County, CA","Depository Institution","Credit/Debit Card","Credit Card","U.S. Currency","2"
"2016 January","California","Kern County, CA","Depository Institution","Other Other Suspicious Activities","Credit Card","U.S. Currency","1"
"2016 January","California","Kern County, CA","Depository Institution","Suspicion Concerning the Source of Funds","Credit Card","U.S. Currency","1"
"2016 January","California","Kern County, CA","Depository Institution","Suspicious use of multiple transaction locations","Credit Card","U.S. Currency","1"
"2016 January","California","Kern County, CA","Depository Institution","Transaction(s) Below CTR Threshold","Credit Card","U.S. Currency","1"
"2016 January","California","Kern County, CA","Depository Institution","[Total]","Credit Card","U.S. Currency","8"
"2016 January","California","Kern County, CA","[Total]","[Total]","Credit Card","U.S. Currency","8"
"2016 January","California","Kings County, CA","Depository Institution","Other Fraud (Type)","Credit Card","U.S. Currency","1"
"2016 January","California","Kings County, CA","Depository Institution","Other Other Suspicious Activities","Credit Card","U.S. Currency","1"
"2016 January","California","Kings County, CA","Depository Institution","Suspicious use of multiple transaction locations","Credit Card","U.S. Currency","1"
"2016 January","California","Kings County, CA","Depository Institution","[Total]","Credit Card","U.S. Currency","3"
"2016 January","California","Kings County, CA","[Total]","[Total]","Credit Card","U.S. Currency","3"
"2016 January","California","Lake County, CA","Depository Institution","Alters or Cancels Transaction to Avoid CTR Requirement","Credit Card","U.S. Currency","1"
"2016 January","California","Lake County, CA","Depository Institution","Suspicion Concerning the Source of Funds","Credit Card","U.S. Currency","1"
"2016 January","California","Lake County, CA","Depository Institution","Transaction with No Apparent Economic, Business, or Lawful Purpose","Credit Card","U.S. Currency","1"
"2016 January","California","Lake County, CA","Depository Institution","Transaction(s) Below CTR Threshold","Credit Card","U.S. Currency","1"
"2016 January","California","Lake County, CA","Depository Institution","[Total]","Credit Card","U.S. Currency","4"
"2016 January","California","Lake County, CA","[Total]","[Total]","Credit Card","U.S. Currency","4"
"2016 January","California","Los Angeles County, CA","Casino/Card Club - Card Club","Other Structuring","Credit Card","U.S. Currency","1"
"2016 January","California","Los Angeles County, CA","Casino/Card Club - Card Club","Transaction(s) Below CTR Threshold","Credit Card","U.S. Currency","2"
"2016 January","California","Los Angeles County, CA","Casino/Card Club - Card Club","[Total]","Credit Card","U.S. Currency","3"
"2016 January","California","Los Angeles County, CA","Depository Institution","Account Takeover","Credit Card","U.S. Currency","5"
"2016 January","California","Los Angeles County, CA","Depository Institution","ACH","Credit Card","U.S. Currency","3"
"2016 January","California","Los Angeles County, CA","Depository Institution","Alters or Cancels Transaction to Avoid CTR Requirement","Credit Card","U.S. Currency","4"
"2016 January","California","Los Angeles County, CA","Depository Institution","Check","Credit Card","U.S. Currency","13"
"2016 January","California","Los Angeles County, CA","Depository Institution","Counterfeit Instrument","Credit Card","U.S. Currency","2"
"2016 January","California","Los Angeles County, CA","Depository Institution","Credit/Debit Card","Credit Card","U.S. Currency","45"
"2016 January","California","Los Angeles County, CA","Depository Institution","Customer Cancels Transaction to Avoid Bsa Reporting and Recordkeeping Requirements","Credit Card","U.S. Currency","1"
"2016 January","California","Los Angeles County, CA","Depository Institution","Elder Financial Exploitation","Credit Card","U.S. Currency","5"
"2016 January","California","Los Angeles County, CA","Depository Institution","Embezzlement/Theft/Disappearance of Funds","Credit Card","U.S. Currency","1"
"2016 January","California","Los Angeles County, CA","Depository Institution","Forgeries","Credit Card","U.S. Currency","3"
"2016 January","California","Los Angeles County, CA","Depository Institution","Identity Theft","Credit Card","U.S. Currency","10"
"2016 January","California","Los Angeles County, CA","Depository Institution","Mail","Credit Card","U.S. Currency","2"
"2016 January","California","Los Angeles County, CA","Depository Institution","Mass-Marketing","Credit Card","U.S. Currency","1"
"2016 January","California","Los Angeles County, CA","Depository Institution","Misuse of Position or Self-Dealing","Credit Card","U.S. Currency","1"
"2016 January","California","Los Angeles County, CA","Depository Institution","Multiple Individuals with Same or Similar Identities","Credit Card","U.S. Currency","7"
"2016 January","California","Los Angeles County, CA","Depository Institution","Other Fraud (Type)","Credit Card","U.S. Currency","4"
"2016 January","California","Los Angeles County, CA","Depository Institution","Other Other Suspicious Activities","Credit Card","U.S. Currency","33"
"2016 January","California","Los Angeles County, CA","Depository Institution","Other Structuring","Credit Card","U.S. Currency","7"
"2016 January","California","Los Angeles County, CA","Depository Institution","Provided Questionable or False Documentation","Credit Card","U.S. Currency","22"
"2016 January","California","Los Angeles County, CA","Depository Institution","Refused or Avoided Request for Documentation","Credit Card","U.S. Currency","1"
"2016 January","California","Los Angeles County, CA","Depository Institution","Suspected Public/Private Corruption (Foreign)","Credit Card","U.S. Currency","1"
"2016 January","California","Los Angeles County, CA","Depository Institution","Suspicion Concerning the Source of Funds","Credit Card","U.S. Currency","18"
"2016 January","California","Los Angeles County, CA","Depository Institution","Suspicious EFT/Wire Transfers","Credit Card","U.S. Currency","3"
"2016 January","California","Los Angeles County, CA","Depository Institution","Suspicious Inquiry by Customer Regarding Bsa Reporting or Recordkeeping Requirements","Credit Card","U.S. Currency","1"
"2016 January","California","Los Angeles County, CA","Depository Institution","Suspicious Use of Multiple Accounts","Credit Card","U.S. Currency","5"
"2016 January","California","Los Angeles County, CA","Depository Institution","Suspicious use of multiple transaction locations","Credit Card","U.S. Currency","22"
"2016 January","California","Los Angeles County, CA","Depository Institution","Suspicious Use of Noncash Monetary Instruments","Credit Card","U.S. Currency","5"
"2016 January","California","Los Angeles County, CA","Depository Institution","Transaction Out of Pattern for Customer(s)","Credit Card","U.S. Currency","11"
"2016 January","California","Los Angeles County, CA","Depository Institution","Transaction with No Apparent Economic, Business, or Lawful Purpose","Credit Card","U.S. Currency","7"
"2016 January","California","Los Angeles County, CA","Depository Institution","Transaction(s) Below CTR Threshold","Credit Card","U.S. Currency","64"
"2016 January","California","Los Angeles County, CA","Depository Institution","Two or More Individuals Working Together","Credit Card","U.S. Currency","11"
"2016 January","California","Los Angeles County, CA","Depository Institution","Wire","Credit Card","U.S. Currency","2"
"2016 January","California","Los Angeles County, CA","Depository Institution","[Total]","Credit Card","U.S. Currency","320"
"2016 January","California","Los Angeles County, CA","Money Services Business (MSB)","Transaction with No Apparent Economic, Business, or Lawful Purpose","Credit Card","U.S. Currency","2"
"2016 January","California","Los Angeles County, CA","Money Services Business (MSB)","Transaction(s) Below BSA Recordkeeping Threshold","Credit Card","U.S. Currency","1"
"2016 January","California","Los Angeles County, CA","Money Services Business (MSB)","Transaction(s) Below CTR Threshold","Credit Card","U.S. Currency","2"
"2016 January","California","Los Angeles County, CA","Money Services Business (MSB)","Two or More Individuals Working Together","Credit Card","U.S. Currency","1"
"2016 January","California","Los Angeles County, CA","Money Services Business (MSB)","[Total]","Credit Card","U.S. Currency","6"
"2016 January","California","Los Angeles County, CA","Other","Alters or Cancels Transaction to Avoid BSA Recordkeeping Requirement","Credit Card","U.S. Currency","1"
"2016 January","California","Los Angeles County, CA","Other","Changes Spelling or Arrangement of Name","Credit Card","U.S. Currency","1"
"2016 January","California","Los Angeles County, CA","Other","Credit/Debit Card","Credit Card","U.S. Currency","1"
"2016 January","California","Los Angeles County, CA","Other","Multiple Individuals with Same or Similar Identities","Credit Card","U.S. Currency","1"
"2016 January","California","Los Angeles County, CA","Other","Single Individual with Multiple Identities","Credit Card","U.S. Currency","1"
"2016 January","California","Los Angeles County, CA","Other","Suspicion Concerning the Source of Funds","Credit Card","U.S. Currency","1"
"2016 January","California","Los Angeles County, CA","Other","Suspicious Use of Multiple Accounts","Credit Card","U.S. Currency","1"
"2016 January","California","Los Angeles County, CA","Other","Suspicious use of multiple transaction locations","Credit Card","U.S. Currency","1"
"2016 January","California","Los Angeles County, CA","Other","Suspicious Use of Noncash Monetary Instruments","Credit Card","U.S. Currency","1"
"2016 January","California","Los Angeles County, CA","Other","Suspicious Use of Third-Party Transactors (Straw-Man)","Credit Card","U.S. Currency","1"
"2016 January","California","Los Angeles County, CA","Other","Transaction(s) Below BSA Recordkeeping Threshold","Credit Card","U.S. Currency","1"
"2016 January","California","Los Angeles County, CA","Other","Two or More Individuals Working Together","Credit Card","U.S. Currency","1"
"2016 January","California","Los Angeles County, CA","Other","[Total]","Credit Card","U.S. Currency","12"
"2016 January","California","Los Angeles County, CA","[Total]","[Total]","Credit Card","U.S. Currency","341"
"2016 January","California","Marin County, CA","Depository Institution","Transaction(s) Below CTR Threshold","Credit Card","U.S. Currency","1"
"2016 January","California","Marin County, CA","Depository Institution","[Total]","Credit Card","U.S. Currency","1"
"2016 January","California","Marin County, CA","[Total]","[Total]","Credit Card","U.S. Currency","1"
"2016 January","California","Monterey County, CA","Depository Institution","Transaction(s) Below CTR Threshold","Credit Card","U.S. Currency","1"
"2016 January","California","Monterey County, CA","Depository Institution","[Total]","Credit Card","U.S. Currency","1"
"2016 January","California","Monterey County, CA","Money Services Business (MSB)","Provided Questionable or False Documentation","Credit Card","U.S. Currency","1"
"2016 January","California","Monterey County, CA","Money Services Business (MSB)","Suspicious use of multiple transaction locations","Credit Card","U.S. Currency","1"
"2016 January","California","Monterey County, CA","Money Services Business (MSB)","Transaction(s) Below BSA Recordkeeping Threshold","Credit Card","U.S. Currency","1"
"2016 January","California","Monterey County, CA","Money Services Business (MSB)","Two or More Individuals Working Together","Credit Card","U.S. Currency","1"
"2016 January","California","Monterey County, CA","Money Services Business (MSB)","[Total]","Credit Card","U.S. Currency","4"
"2016 January","California","Monterey County, CA","[Total]","[Total]","Credit Card","U.S. Currency","5"
"2016 January","California","Napa County, CA","Depository Institution","ACH","Credit Card","U.S. Currency","1"
"2016 January","California","Napa County, CA","Depository Institution","Credit/Debit Card","Credit Card","U.S. Currency","1"
"2016 January","California","Napa County, CA","Depository Institution","Other Other Suspicious Activities","Credit Card","U.S. Currency","1"
"2016 January","California","Napa County, CA","Depository Institution","Transaction(s) Below CTR Threshold","Credit Card","U.S. Currency","1"
"2016 January","California","Napa County, CA","Depository Institution","[Total]","Credit Card","U.S. Currency","4"
"2016 January","California","Napa County, CA","[Total]","[Total]","Credit Card","U.S. Currency","4"
"2016 January","California","Nevada County, CA","Depository Institution","Suspicion Concerning the Source of Funds","Credit Card","U.S. Currency","1"
"2016 January","California","Nevada County, CA","Depository Institution","Suspicious use of multiple transaction locations","Credit Card","U.S. Currency","1"
"2016 January","California","Nevada County, CA","Depository Institution","Suspicious Use of Third-Party Transactors (Straw-Man)","Credit Card","U.S. Currency","1"
"2016 January","California","Nevada County, CA","Depository Institution","Two or More Individuals Working Together","Credit Card","U.S. Currency","1"
"2016 January","California","Nevada County, CA","Depository Institution","[Total]","Credit Card","U.S. Currency","4"
"2016 January","California","Nevada County, CA","[Total]","[Total]","Credit Card","U.S. Currency","4"
"2016 January","California","Orange County, CA","Depository Institution","Alters or Cancels Transaction to Avoid CTR Requirement","Credit Card","U.S. Currency","2"
"2016 January","California","Orange County, CA","Depository Institution","Check","Credit Card","U.S. Currency","1"
"2016 January","California","Orange County, CA","Depository Institution","Credit/Debit Card","Credit Card","U.S. Currency","5"
"2016 January","California","Orange County, CA","Depository Institution","Identity Theft","Credit Card","U.S. Currency","1"
"2016 January","California","Orange County, CA","Depository Institution","Multiple Individuals with Same or Similar Identities","Credit Card","U.S. Currency","1"
"2016 January","California","Orange County, CA","Depository Institution","Other Money Laundering","Credit Card","U.S. Currency","1"
"2016 January","California","Orange County, CA","Depository Institution","Other Other Suspicious Activities","Credit Card","U.S. Currency","4"
"2016 January","California","Orange County, CA","Depository Institution","Other Structuring","Credit Card","U.S. Currency","3"
"2016 January","California","Orange County, CA","Depository Institution","Provided Questionable or False Documentation","Credit Card","U.S. Currency","1"
"2016 January","California","Orange County, CA","Depository Institution","Suspicion Concerning the Source of Funds","Credit Card","U.S. Currency","5"
"2016 January","California","Orange County, CA","Depository Institution","Suspicious EFT/Wire Transfers","Credit Card","U.S. Currency","2"
"2016 January","California","Orange County, CA","Depository Institution","Suspicious Use of Multiple Accounts","Credit Card","U.S. Currency","5"
"2016 January","California","Orange County, CA","Depository Institution","Suspicious use of multiple transaction locations","Credit Card","U.S. Currency","3"
"2016 January","California","Orange County, CA","Depository Institution","Suspicious Use of Noncash Monetary Instruments","Credit Card","U.S. Currency","3"
"2016 January","California","Orange County, CA","Depository Institution","Transaction Out of Pattern for Customer(s)","Credit Card","U.S. Currency","2"
"2016 January","California","Orange County, CA","Depository Institution","Transaction with No Apparent Economic, Business, or Lawful Purpose","Credit Card","U.S. Currency","2"
"2016 January","California","Orange County, CA","Depository Institution","Transaction(s) Below CTR Threshold","Credit Card","U.S. Currency","17"
"2016 January","California","Orange County, CA","Depository Institution","Two or More Individuals Working Together","Credit Card","U.S. Currency","2"
"2016 January","California","Orange County, CA","Depository Institution","[Total]","Credit Card","U.S. Currency","60"
"2016 January","California","Orange County, CA","Money Services Business (MSB)","Suspicious use of multiple transaction locations","Credit Card","U.S. Currency","1"
"2016 January","California","Orange County, CA","Money Services Business (MSB)","Transaction with No Apparent Economic, Business, or Lawful Purpose","Credit Card","U.S. Currency","1"
"2016 January","California","Orange County, CA","Money Services Business (MSB)","Transaction(s) Below CTR Threshold","Credit Card","U.S. Currency","1"
"2016 January","California","Orange County, CA","Money Services Business (MSB)","Two or More Individuals Working Together","Credit Card","U.S. Currency","1"
"2016 January","California","Orange County, CA","Money Services Business (MSB)","[Total]","Credit Card","U.S. Currency","4"
"2016 January","California","Orange County, CA","[Total]","[Total]","Credit Card","U.S. Currency","64"
"2016 January","California","Placer County, CA","Depository Institution","Credit/Debit Card","Credit Card","U.S. Currency","1"
"2016 January","California","Placer County, CA","Depository Institution","Forgeries","Credit Card","U.S. Currency","1"
"2016 January","California","Placer County, CA","Depository Institution","Identity Theft","Credit Card","U.S. Currency","1"
"2016 January","California","Placer County, CA","Depository Institution","Multiple Individuals with Same or Similar Identities","Credit Card","U.S. Currency","1"
"2016 January","California","Placer County, CA","Depository Institution","Provided Questionable or False Documentation","Credit Card","U.S. Currency","1"
"2016 January","California","Placer County, CA","Depository Institution","Suspicion Concerning the Source of Funds","Credit Card","U.S. Currency","1"
"2016 January","California","Placer County, CA","Depository Institution","Suspicious use of multiple transaction locations","Credit Card","U.S. Currency","1"
"2016 January","California","Placer County, CA","Depository Institution","Suspicious Use of Third-Party Transactors (Straw-Man)","Credit Card","U.S. Currency","1"
"2016 January","California","Placer County, CA","Depository Institution","Two or More Individuals Working Together","Credit Card","U.S. Currency","1"
"2016 January","California","Placer County, CA","Depository Institution","[Total]","Credit Card","U.S. Currency","9"
"2016 January","California","Placer County, CA","Other","Alters or Cancels Transaction to Avoid BSA Recordkeeping Requirement","Credit Card","U.S. Currency","1"
"2016 January","California","Placer County, CA","Other","Changes Spelling or Arrangement of Name","Credit Card","U.S. Currency","1"
"2016 January","California","Placer County, CA","Other","Credit/Debit Card","Credit Card","U.S. Currency","1"
"2016 January","California","Placer County, CA","Other","Multiple Individuals with Same or Similar Identities","Credit Card","U.S. Currency","1"
"2016 January","California","Placer County, CA","Other","Single Individual with Multiple Identities","Credit Card","U.S. Currency","1"
"2016 January","California","Placer County, CA","Other","Suspicion Concerning the Source of Funds","Credit Card","U.S. Currency","1"
"2016 January","California","Placer County, CA","Other","Suspicious Use of Multiple Accounts","Credit Card","U.S. Currency","1"
"2016 January","California","Placer County, CA","Other","Suspicious use of multiple transaction locations","Credit Card","U.S. Currency","1"
"2016 January","California","Placer County, CA","Other","Suspicious Use of Noncash Monetary Instruments","Credit Card","U.S. Currency","1"
"2016 January","California","Placer County, CA","Other","Suspicious Use of Third-Party Transactors (Straw-Man)","Credit Card","U.S. Currency","1"
"2016 January","California","Placer County, CA","Other","Transaction(s) Below BSA Recordkeeping Threshold","Credit Card","U.S. Currency","1"
"2016 January","California","Placer County, CA","Other","Two or More Individuals Working Together","Credit Card","U.S. Currency","1"
"2016 January","California","Placer County, CA","Other","[Total]","Credit Card","U.S. Currency","12"
"2016 January","California","Placer County, CA","[Total]","[Total]","Credit Card","U.S. Currency","21"
"2016 January","California","Riverside County, CA","Depository Institution","Alters or Cancels Transaction to Avoid CTR Requirement","Credit Card","U.S. Currency","1"
"2016 January","California","Riverside County, CA","Depository Institution","Check","Credit Card","U.S. Currency","2"
"2016 January","California","Riverside County, CA","Depository Institution","Credit/Debit Card","Credit Card","U.S. Currency","5"
"2016 January","California","Riverside County, CA","Depository Institution","Identity Theft","Credit Card","U.S. Currency","2"
"2016 January","California","Riverside County, CA","Depository Institution","Mass-Marketing","Credit Card","U.S. Currency","1"
"2016 January","California","Riverside County, CA","Depository Institution","Multiple Individuals with Same or Similar Identities","Credit Card","U.S. Currency","2"
"2016 January","California","Riverside County, CA","Depository Institution","Other Fraud (Type)","Credit Card","U.S. Currency","1"
"2016 January","California","Riverside County, CA","Depository Institution","Other Other Suspicious Activities","Credit Card","U.S. Currency","1"
"2016 January","California","Riverside County, CA","Depository Institution","Provided Questionable or False Documentation","Credit Card","U.S. Currency","3"
"2016 January","California","Riverside County, CA","Depository Institution","Suspicion Concerning the Source of Funds","Credit Card","U.S. Currency","5"
"2016 January","California","Riverside County, CA","Depository Institution","Suspicious Use of Multiple Accounts","Credit Card","U.S. Currency","2"
"2016 January","California","Riverside County, CA","Depository Institution","Suspicious use of multiple transaction locations","Credit Card","U.S. Currency","2"
"2016 January","California","Riverside County, CA","Depository Institution","Transaction Out of Pattern for Customer(s)","Credit Card","U.S. Currency","3"
"2016 January","California","Riverside County, CA","Depository Institution","Transaction with No Apparent Economic, Business, or Lawful Purpose","Credit Card","U.S. Currency","1"
"2016 January","California","Riverside County, CA","Depository Institution","Transaction(s) Below CTR Threshold","Credit Card","U.S. Currency","5"
"2016 January","California","Riverside County, CA","Depository Institution","Two or More Individuals Working Together","Credit Card","U.S. Currency","1"
"2016 January","California","Riverside County, CA","Depository Institution","[Total]","Credit Card","U.S. Currency","37"
"2016 January","California","Riverside County, CA","Money Services Business (MSB)","Suspicious use of multiple transaction locations","Credit Card","U.S. Currency","1"
"2016 January","California","Riverside County, CA","Money Services Business (MSB)","Transaction with No Apparent Economic, Business, or Lawful Purpose","Credit Card","U.S. Currency","1"
"2016 January","California","Riverside County, CA","Money Services Business (MSB)","[Total]","Credit Card","U.S. Currency","2"
"2016 January","California","Riverside County, CA","[Total]","[Total]","Credit Card","U.S. Currency","39"
"2016 January","California","Sacramento County, CA","Depository Institution","Credit/Debit Card","Credit Card","U.S. Currency","3"
"2016 January","California","Sacramento County, CA","Depository Institution","Forgeries","Credit Card","U.S. Currency","1"
"2016 January","California","Sacramento County, CA","Depository Institution","Identity Theft","Credit Card","U.S. Currency","2"
"2016 January","California","Sacramento County, CA","Depository Institution","Multiple Individuals with Same or Similar Identities","Credit Card","U.S. Currency","2"
"2016 January","California","Sacramento County, CA","Depository Institution","Other Money Laundering","Credit Card","U.S. Currency","1"
"2016 January","California","Sacramento County, CA","Depository Institution","Provided Questionable or False Documentation","Credit Card","U.S. Currency","2"
"2016 January","California","Sacramento County, CA","Depository Institution","Suspicion Concerning the Source of Funds","Credit Card","U.S. Currency","3"
"2016 January","California","Sacramento County, CA","Depository Institution","Suspicious EFT/Wire Transfers","Credit Card","U.S. Currency","1"
"2016 January","California","Sacramento County, CA","Depository Institution","Suspicious Use of Multiple Accounts","Credit Card","U.S. Currency","3"
"2016 January","California","Sacramento County, CA","Depository Institution","Suspicious use of multiple transaction locations","Credit Card","U.S. Currency","3"
"2016 January","California","Sacramento County, CA","Depository Institution","Suspicious Use of Noncash Monetary Instruments","Credit Card","U.S. Currency","2"
"2016 January","California","Sacramento County, CA","Depository Institution","Transaction Out of Pattern for Customer(s)","Credit Card","U.S. Currency","2"
"2016 January","California","Sacramento County, CA","Depository Institution","Transaction with No Apparent Economic, Business, or Lawful Purpose","Credit Card","U.S. Currency","1"
